nama_lengkap,nama_panggilan,tempat_tanggal_lahir,generasi,salam_perkenalan,,,,,
Shani Indira Natio,Shani,"Kebumen, Jawa Tengah, Indonesia, 5 Oktober 1998 (25 tahun)",3,Semanis coklat selembut sutra. Halo aku Shani.,,,,,
Shania Gracia,"Gracia, Gre","Jakarta, Indonesia, 31 Agustus 1999 (24 tahun)",3,"Senyumku terekam jelas dalam ingatanmu seperti foto dengan sejuta warna. Namaku Gracia, always smile! Sekali lagi? (Gracia!)",,,,,
Yessica Tamara,"Chika, Yessica, Chikuy, Jambul","Jakarta, Indonesia, 24 September 2002 (21 tahun)",7,Memberikan kebahagiaan lewat gummy smile-ku. Halo semuanya aku Chika.,,,,,
Nama lengkap,Nama panggilan,Kelahiran (usia),Generasi,Salam perkenalan,Mulai dan durasi bergabung (di JKT48),Sub-unit,Nama fanbase,Akun media sosial[13],Ref.
Abigail Rachelie,Aralie,"Jakarta, Indonesia, 6 Agustus 2008 (15 tahun)",12,"Seperti bunga yang mekar, aku akan membuat kamu, kamu, dan kamu terbayang-bayang. Aku Ara-Aralie. Halo semuanya, nama aku Aralie ya!",18 November 2023 (41 hari),Belum pernah,Arariel,"IG: @jkt48.aralie
TT: @jkt48.aralie
X: @Aralie_JKT48",
Adeline Wijaya,Delynn,"Jakarta, Indonesia, 1 September 2007 (16 tahun)",12,"Nyemangatin dan ngangenin, siapa yang kamu pikirin? Delynn! Pyong! Pyong! Aku Delynn!",18 November 2023 (41 hari),Belum pernah,Adeliner,"IG: @jkt48.delynn
TT: @jkt48.delynn
X: @Delynn_JKT48",
Aisa Maharani Napitupulu,Shasa,"Medan, Sumatera Utara, Indonesia, 31 Januari 2006 (17 tahun)",12,"Horas we! Gadis ceria yang akan membawamu ke dunia keajaiban penuh warna. Halo, panggil aku Shasa!",18 November 2023 (41 hari),Belum pernah,Aisareine,"IG: @jkt48.shasa
TT: @jkt48.shasa
X: @Shasa_JKT48",
Alya Amanda Fatihah,Alya,"Jakarta, Indonesia, 26 Agustus 2006 (17 tahun)",11,"Jika hatimu sedang menangis, aku akan datang sebagai pelangi! Hai aku Alya!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Alamanda,"@: @jkt48.alya_
IDN: Alya JKT48
IG: @jkt48.alya_
SR: Alya / ??? (JKT48)
TT: @alyajkt48
X: @AA_AlyaJKT48",
Anindya Ramadhani Purnomo,"Anindya, Anin","Depok, Jawa Barat, Indonesia, 18 Oktober 2005 (18 tahun)",11,"Si mungil hadir, semanis mangga! Hai aku Anindya!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Aninimous,"@: @jkt48.anindya_
IDN: Anindya JKT48
IG: @jkt48.anindya_
SR: Anindya / ?????? (JKT48)
TT: @anindyajkt48
X: @AR_AnindyaJKT48",
Aurhel Alana,Lana,"Bekasi, Jawa Barat, Indonesia, 14 September 2006 (17 tahun)",12,"Dengan kekuatan bulan, aku akan menyihirmu dengan pesonaku! Halo semuanya, nama aku Lana!",18 November 2023 (41 hari),Belum pernah,Lanautica,"IG: @jkt48.lana.a
TT: @jkt48.lana
X: @AR_LanaJKT48",
